ModelGeneID,InfectedCandida48R1,InfectedCandida48R2
CAALFM_C501900CA,0,940.8687512
CAALFM_C501940WA,42.3802979,0
CAALFM_C502000CA,631.0628169,410.6966771
CAALFM_C502220CA,194.3345267,0
CAALFM_C502260CA,53.2007995,36.7005541
CAALFM_C502270WA,134.5636661,0
CAALFM_C502530WA,64.1796093,177.0971298
CAALFM_C502690WA,34.1589833,94.2582538
CAALFM_C502710WA,1265.797839,644.8321659
CAALFM_C502770WA,62.5109394,0
CAALFM_C502790CA,128.6674568,59.1741353
CAALFM_C502820CA,46.1335346,63.6504075
CAALFM_C502890WA,740.2611246,1134.819766
CAALFM_C502930CA,420.1003993,46.3689797
CAALFM_C503060CA,0,33.7558913
CAALFM_C503390CA,285.4380795,157.5274926
CAALFM_C503470CA,0,0
CAALFM_C503500WA,780.0134795,939.7663859
CAALFM_C503620WA,225.2646465,51.7995809
CAALFM_C503770CA,0,45.3927906
CAALFM_C503790WA,65.4564811,135.4653961
CAALFM_C503840WA,38.1164265,0
CAALFM_C503860WA,123.1742649,0
CAALFM_C504100WA,41.4895616,0
CAALFM_C504120CA,36.6633076,101.1686829
CAALFM_C504270CA,332.6524492,267.7268804
CAALFM_C504490CA,412.8080905,461.0651375
CAALFM_C504570CA,130.6848908,210.3568346
CAALFM_C504650CA,86.5203314,0
CAALFM_C504680WA,35.0201341,80.5287602
CAALFM_C504700CA,83.4591982,34.5445803
CAALFM_C504720CA,45.1342523,0
CAALFM_C504810WA,240.4266901,157.1288906
CAALFM_C504880CA,41.9536506,28.9417121
CAALFM_C504930CA,498.8139478,161.0711925
CAALFM_C504940WA,0,29.5870676
CAALFM_C505050WA,19592.71444,13552.99034
CAALFM_C505130CA,51.6619334,0
CAALFM_C505140WA,0,48.8647604
CAALFM_C505300WA,157.5906036,144.9517684
CAALFM_C505320CA,167.2533496,403.8288397
CAALFM_C505410CA,42.3802979,58.4720693
CAALFM_C505480WA,269.588957,162.7288721
CAALFM_C505490CA,24.9047567,34.3610766
CAALFM_C600150WA,908.8469915,519.9245167
CAALFM_C600330CA,549.6651569,505.5817715
CAALFM_C600390WA,37.7329614,34.7067614
CAALFM_C600560WA,0,0
CAALFM_C600600CA,0,0
CAALFM_C600750CA,2527.356163,2249.006445
CAALFM_C600830CA,0,0
CAALFM_C600840WA,3087.430544,2156.157555
CAALFM_C600850WA,578.8049946,159.7153744
CAALFM_C600860WA,0,0
CAALFM_C600870CA,405.3078366,430.1561206
CAALFM_C600960WA,0,0
CAALFM_C601050WA,0,0
CAALFM_C601060CA,43.9444214,90.9451341
CAALFM_C601340CA,105.9507448,0
CAALFM_C601430CA,47.3567723,98.0071616
CAALFM_C601440CA,0,0
CAALFM_C601670WA,0,27.3363874
CAALFM_C601740CA,62.7200061,0
CAALFM_C601750CA,0,0
CAALFM_C601840CA,0,0
CAALFM_C601870CA,0,0
CAALFM_C601910WA,0,0
CAALFM_C601990WA,0,0
CAALFM_C602000WA,0,28.2774761
CAALFM_C602010CA,0,139.106939
CAALFM_C602040WA,372.5817581,228.4670257
CAALFM_C602180WA,137.38668,0
CAALFM_C602500CA,15.8255543,0
CAALFM_C602650CA,12.8623332,35.4923054
CAALFM_C602960WA,0,0
CAALFM_C602980CA,0,0
CAALFM_C603080CA,107.7774817,148.700521
CAALFM_C603170CA,0,0
CAALFM_C603230WA,0,0
CAALFM_C603270CA,83.9073012,0
CAALFM_C603390WA,71.4410736,0
CAALFM_C603410CA,68.1318141,94.0014193
CAALFM_C603450CA,0,0
CAALFM_C603540WA,0,37.0155803
CAALFM_C603720WA,51.555414,44.4568568
CAALFM_C603760CA,185.8074632,219.7358018
CAALFM_C603790CA,0,0
CAALFM_C603840CA,0,0
CAALFM_C603880WA,0,0
CAALFM_C604110WA,36.6991817,0
CAALFM_C604250WA,595.3422801,2464.180063
CAALFM_C604520WA,74.6227927,47.5186238
CAALFM_C604580WA,63.2701816,104.7525938
CAALFM_C604590CA,301.2575393,69.2741383
CAALFM_C604600WA,0,124.9946409
CAALFM_C604610CA,0,0
CAALFM_C604620CA,0,0
CAALFM_C700060CA,532.6044165,154.7018873
CAALFM_C700150WA,324.7321528,149.3442462
CAALFM_C700230WA,21.2261254,58.5713427
CAALFM_C700280WA,71.16995,98.1931334
CAALFM_C700290CA,0,0
CAALFM_C700380WA,91.59112,126.3682083
CAALFM_C700400WA,267.4264788,46.1210172
CAALFM_C700430WA,117.1414538,235.0836176
CAALFM_C700470CA,24.9047567,34.3610766
CAALFM_C700480WA,0,0
CAALFM_C700550CA,93.7664091,0
CAALFM_C700580CA,0,75.9879314
CAALFM_C700620WA,0,95.0372476
CAALFM_C700630CA,0,56.2475884
CAALFM_C700670CA,22.0497141,22.8164821
CAALFM_C700930WA,187.3246797,220.1625916
CAALFM_C701320WA,0,0
CAALFM_C701510WA,171.106586,94.4302579
CAALFM_C701520WA,0,0
CAALFM_C701640WA,235.396843,396.949508
CAALFM_C701750WA,0,0
CAALFM_C701800CA,310.2443667,255.0049062
CAALFM_C701820CA,228.6985588,315.5352519
CAALFM_C701870WA,93.2999096,64.3629121
CAALFM_C701880CA,0,0
CAALFM_C701940CA,11.3039673,0
CAALFM_C701990CA,0,14.9473661
CAALFM_C702330WA,31.6310889,0
CAALFM_C702500CA,142.5330866,168.5595483
CAALFM_C702640WA,109.1460847,54.7595569
CAALFM_C702680WA,0,456.9340513
CAALFM_C702690CA,62.0455974,0
CAALFM_C702770WA,48.6940132,33.5915491
CAALFM_C702810WA,51.2384749,70.6936903
CAALFM_C702830CA,26.9443704,37.1751303
CAALFM_C702840CA,229.2872295,166.4986529
CAALFM_C702880CA,0,0
CAALFM_C703040WA,0,0
CAALFM_C703050WA,0,0
CAALFM_C703070CA,36.9668477,51.0031355
CAALFM_C703130CA,0,0
CAALFM_C703330CA,25.3080726,174.5876563
CAALFM_C703350CA,0,55.6427756
CAALFM_C703520WA,0,0
CAALFM_C703570WA,13.3285585,0
CAALFM_C703640CA,0,0
CAALFM_C703650WA,0,0
CAALFM_C703660CA,72.266982,174.4867385
CAALFM_C703670WA,316.5110856,93.5764581
CAALFM_C703710CA,11.3553023,0
CAALFM_C703720CA,0,41.2004628
CAALFM_C704040CA,207.3822635,204.3751237
CAALFM_C704180WA,16.73653,0
CAALFM_C704210CA,0,47.1291269
CAALFM_C704250WA,0,0
CAALFM_C704280CA,50.2095899,138.5482766
CAALFM_CR00080WA,73.1122098,33.6242894
CAALFM_CR00130CA,159.8745254,88.2315112
