Genes,Mouse_Infected48_R1,Mouse_Infected48_R2
20495,4.0103748,4.2735467
20496,0.7083893,0.7064676
74080,0.2228358,0.2035386
66454,0.7122985,0.7002763
226518,0.0023721,0.002441
59027,5.447639,5.2043566
18113,0.173887,0.1698004
18948,0.0112884,0
18127,0.5430952,0.5387946
18125,0.0080727,0.0099196
18126,0.6337487,0.6247703
667034,9.2257979,9.0066418
18950,#N/A,#N/A
20517,8.4108968,8.4758166
20445,0,0.000602
50773,32.6805588,27.8125121
18675,0.0003024,0.0003364
103850,0.6429718,0.6193971
23959,5.6107999,5.505886
69983,0.0000205,0
18416,0.0000237,0
67041,4.029994,4.657315
353371,0.0492596,0.0665973
13171,1.6973584,1.8872458
12040,0.1514714,0.1590076
12039,5.7846688,6.0238806
75475,9.7351106,9.7724589
18242,10.0808396,9.954673
22247,2.305884,2.3046058
13521,0.7897164,0.7860325
231583,32.1391782,33.6882708
13487,0.000824,0.0008359
13070,1.0244093,0.3806136
13072,0.3636662,0.0998466
110115,1.7325639,0.5757246
13074,0.0384186,0.039373
13075,0.0001185,0.0004015
56388,0.0012059,0.001265
13113,0.0829182,0.0836441
13114,0,0.0000944
337924,0,0.0000989
13112,0.0001276,0.0002471
100041449,0.0003352,0
622127,0.0010085,0.0021275
100041375,0,0
13079,2.8905374,1.070573
104086,0.9900874,1.0702252
13086,9.0339862,6.97343
13087,9.8245297,8.8467352
72082,0.0003654,0.0004864
13097,0.0002438,0.0001931
13098,0,0.0000547
69888,0.0000891,0.0002587
72303,0.001138,0.0010061
56448,2.1934173,1.9893469
13107,0.4380068,0.4308898
56050,0.057253,0.0569967
53973,0,0
13116,0.0536369,0.0549383
64385,0.045671,0.0460229
170716,2.1016818,2.0946464
72054,0.5155616,0.441693
13123,0.4421979,0.5331165
13124,0.0091908,0.0121357
209027,0.1672151,0.1425314
100163,3.8337522,3.6073419
18475,3.3216239,3.3371403
18476,12.8462914,11.3409291
18472,2.4653539,2.5423119
27226,1.1408399,1.017679
73836,15.1265068,14.3907039
11982,0.0112663,0.0110289
18806,1.8811673,1.7363862
18805,0.0605203,0.0659928
266645,0.3012419,0.4032993
18563,2.0763836,2.3031732
18670,0.0913077,0.083813
54611,0.0057853,0.005747
18578,0.0476324,0.0480682
18584,0.4154384,0.4144654
18574,0.2708676,0.2450037
18583,0.3860492,0.3904251
110385,4.3026858,3.9671485
18575,0.0137651,0.0134551
238871,0.1079935,0.1043349
18573,0.1246516,0.1438934
18576,0.1636632,0.1868408
23984,0.0056691,0.0051439
18577,0.1522518,0.1422809
207728,0.2397475,0.2145081
29863,0.0220426,0.0239871
241489,0.0217015,0.02211
218461,0.0681986,0.0687395
110855,0.0003184,0.0010175
18585,0.2270549,0.2280886
242202,0.0690417,0.0681008
225600,7.9568775,7.6533344
18587,0.0088116,0.0093568
78600,0.0055661,0.0040698
18582,0.757012,0.7382277
18588,0.0953364,0.079738
18598,0,0
68263,7.8406758,8.5327924
235339,3.8886984,4.1496667
18597,17.2051769,18.2754476
103711,8.8286028,8.8459696
11980,0.0929212,0.0900717
18534,146.7163169,146.1592862
74551,3.3528001,3.3091184
80911,4.1139968,4.1272267
68671,12.9107923,13.7483348
18618,0.052931,0.0471361
236539,0.1987023,0.2148727
19215,2.2970098,2.3967006
54486,0.1195297,0.1142551
96979,7.3686852,6.8232019
64292,1.1683277,1.0908268
19223,0.0481107,0.0363697
66461,5.1085211,4.9913141
74451,2.7554453,2.6132193
19225,1.4045282,1.3329985
19224,0.6685836,0.6554042
234724,0.0026091,0.0013474
18478,1.3841689,1.8889763
16922,9.0302534,9.5832998
19211,1.5009864,1.5185632
20975,0.1899418,0.1840888
18720,0.6495801,0.6353761
18717,4.7070801,4.4342107
